Sigma,Gamma,Time_to_95_percent_healing
0.024000000000000007,0.005,1088500.0
0.024000000000000007,0.006,1087000.0
0.024000000000000007,0.007,1086000.0
0.024000000000000007,0.008,1085000.0
0.024000000000000007,0.009000000000000001,1084500.0
0.024000000000000007,0.01,1084000.0
0.024000000000000007,0.011,1083500.0
0.024000000000000007,0.012,1083000.0
0.024000000000000007,0.013000000000000001,1082500.0
0.024000000000000007,0.014000000000000002,1082500.0
0.024000000000000007,0.015,1082000.0
0.024000000000000007,0.016,1082000.0
0.024000000000000007,0.017,1081500.0
0.024000000000000007,0.018000000000000002,1081500.0
0.024000000000000007,0.019,1081000.0
0.024000000000000007,0.02,1081000.0
0.024000000000000007,0.021,1080500.0
0.024000000000000007,0.022000000000000002,1080500.0
0.024000000000000007,0.023000000000000003,1080500.0
0.024000000000000007,0.024,1080000.0
0.024000000000000007,0.025,1080000.0
0.024500000000000008,0.005,1088000.0
0.024500000000000008,0.006,1086500.0
0.024500000000000008,0.007,1085500.0
0.024500000000000008,0.008,1085000.0
0.024500000000000008,0.009000000000000001,1084000.0
0.024500000000000008,0.01,1083500.0
0.024500000000000008,0.011,1083000.0
0.024500000000000008,0.012,1082500.0
0.024500000000000008,0.013000000000000001,1082500.0
0.024500000000000008,0.014000000000000002,1082000.0
0.024500000000000008,0.015,1081500.0
0.024500000000000008,0.016,1081500.0
0.024500000000000008,0.017,1081000.0
0.024500000000000008,0.018000000000000002,1081000.0
0.024500000000000008,0.019,1080500.0
0.024500000000000008,0.02,1080500.0
0.024500000000000008,0.021,1080500.0
0.024500000000000008,0.022000000000000002,1080000.0
0.024500000000000008,0.023000000000000003,1080000.0
0.024500000000000008,0.024,1080000.0
0.024500000000000008,0.025,1079500.0
0.02500000000000001,0.005,1087500.0
0.02500000000000001,0.006,1086500.0
0.02500000000000001,0.007,1085500.0
0.02500000000000001,0.008,1084500.0
0.02500000000000001,0.009000000000000001,1084000.0
0.02500000000000001,0.01,1083000.0
0.02500000000000001,0.011,1082500.0
0.02500000000000001,0.012,1082500.0
0.02500000000000001,0.013000000000000001,1082000.0
0.02500000000000001,0.014000000000000002,1081500.0
0.02500000000000001,0.015,1081000.0
0.02500000000000001,0.016,1081000.0
0.02500000000000001,0.017,1080500.0
0.02500000000000001,0.018000000000000002,1080500.0
0.02500000000000001,0.019,1080000.0
0.02500000000000001,0.02,1080000.0
0.02500000000000001,0.021,1080000.0
0.02500000000000001,0.022000000000000002,1079500.0
0.02500000000000001,0.023000000000000003,1079500.0
0.02500000000000001,0.024,1079500.0
0.02500000000000001,0.025,1079000.0
0.02550000000000001,0.005,1087500.0
0.02550000000000001,0.006,1086000.0
0.02550000000000001,0.007,1085000.0
0.02550000000000001,0.008,1084000.0
0.02550000000000001,0.009000000000000001,1083500.0
0.02550000000000001,0.01,1083000.0
0.02550000000000001,0.011,1082500.0
0.02550000000000001,0.012,1082000.0
0.02550000000000001,0.013000000000000001,1081500.0
0.02550000000000001,0.014000000000000002,1081000.0
0.02550000000000001,0.015,1081000.0
0.02550000000000001,0.016,1080500.0
0.02550000000000001,0.017,1080000.0
0.02550000000000001,0.018000000000000002,1080000.0
0.02550000000000001,0.019,1080000.0
0.02550000000000001,0.02,1079500.0
0.02550000000000001,0.021,1079500.0
0.02550000000000001,0.022000000000000002,1079000.0
0.02550000000000001,0.023000000000000003,1079000.0
0.02550000000000001,0.024,1079000.0
0.02550000000000001,0.025,1079000.0
