Sigma,Gamma,Beta,Healing_Time,Final_Healing_Percentage
0.02,0.015,1.2566370614359172,2798100.0,95.00245217990954
0.02,0.015,1.413716694115407,2799600.0,95.0031089376868
0.02,0.015,1.5707963267948966,2807400.0,95.00377460188004
0.02,0.02,0.0,1082700.0,95.08851960329366
0.02,0.02,0.15707963267948966,1261800.0,95.00748953565702
0.02,0.02,0.3141592653589793,1529400.0,95.00477711684118
0.02,0.02,0.47123889803846897,1858800.0,95.00326961099033
0.02,0.02,0.6283185307179586,2278800.0,95.00427849439228
0.02,0.02,0.7853981633974483,2783100.0,95.00102652090965
0.02,0.02,0.9424777960769379,2804700.0,95.00024433366943
0.02,0.02,1.0995574287564276,2795400.0,95.00120917956323
0.02,0.02,1.2566370614359172,2795100.0,95.00038805771868
0.02,0.02,1.413716694115407,2796600.0,95.0013496525678
0.02,0.02,1.5707963267948966,2804400.0,95.00450250906049
0.02,0.025,0.0,1081800.0,95.01388319439374
0.02,0.025,0.15707963267948966,1260900.0,95.0108737464547
0.02,0.025,0.3141592653589793,1528200.0,95.00498527217319
0.02,0.025,0.47123889803846897,1857300.0,95.00061192072991
0.02,0.025,0.6283185307179586,2277000.0,95.00173395331029
0.02,0.025,0.7853981633974483,2780100.0,95.00142459715637
0.02,0.025,0.9424777960769379,2802900.0,95.00434082008641
0.02,0.025,1.0995574287564276,2793600.0,95.00404068945363
0.02,0.025,1.2566370614359172,2793300.0,95.00280070782226
0.02,0.025,1.413716694115407,2794800.0,95.00427982238492
0.02,0.025,1.5707963267948966,2802300.0,95.00375795336909
0.02,0.030000000000000002,0.0,1081500.0,95.14934305200873
0.02,0.030000000000000002,0.15707963267948966,1260300.0,95.01820111096518
0.02,0.030000000000000002,0.3141592653589793,1527300.0,95.00438105392209
0.02,0.030000000000000002,0.47123889803846897,1856400.0,95.0040813652221
0.02,0.030000000000000002,0.6283185307179586,2275800.0,95.00295310338137
0.02,0.030000000000000002,0.7853981633974483,2778000.0,95.00401085678966
0.02,0.030000000000000002,0.9424777960769379,2801400.0,95.00450824082314
